date,open,high,low,close,volume
2024-08-01,145.00,147.29,130.24,132.54,94731900
2024-08-02,133.50,137.10,131.33,132.50,78562000
2024-08-05,122.16,139.14,121.83,134.82,76089400
2024-08-06,135.15,136.44,129.10,130.18,64455600
2024-08-07,133.75,136.24,128.37,128.67,54676500
2024-08-08,131.97,136.48,128.94,136.32,49037500
2024-08-09,134.69,135.50,132.44,134.27,40583000
2024-08-12,134.44,137.99,133.23,136.77,39724300
2024-08-13,138.12,141.19,137.52,141.13,42218000
2024-08-14,143.00,143.25,137.64,140.75,35506400
2024-08-15,143.00,147.96,141.81,147.36,43582400
2024-08-16,145.70,149.37,145.20,148.56,31123900
2024-08-19,148.43,155.37,147.72,155.28,60766900
2024-08-20,156.49,162.04,154.51,156.40,76851200
2024-08-21,156.12,158.65,155.07,157.81,42791200
2024-08-22,158.87,159.84,151.01,151.70,45737300
2024-08-23,153.60,156.40,151.83,154.98,43694600
2024-08-26,154.70,158.28,148.91,149.99,49893300
2024-08-27,150.13,151.70,148.44,150.50,35102700
2024-08-28,149.40,150.43,144.72,146.36,34075800
2024-08-29,146.59,149.49,144.47,145.49,31602100
2024-08-30,147.52,148.99,145.25,148.56,31169100
2024-09-03,146.41,146.49,136.10,136.94,42172700
2024-09-04,140.51,143.37,138.51,140.87,42130600
2024-09-05,138.20,141.71,137.83,139.44,25023000
2024-09-06,138.70,139.13,132.11,134.35,39993500
2024-09-09,136.10,138.45,134.86,138.15,27194500
2024-09-10,139.06,143.08,137.25,142.84,37217500
2024-09-11,145.32,150.16,140.71,149.86,50935400
2024-09-12,148.43,151.54,147.65,150.77,29233700
2024-09-13,152.32,153.03,150.70,152.31,25117200
2024-09-16,151.70,154.44,150.91,152.08,27677800
2024-09-17,153.55,154.04,149.23,150.82,29889000
2024-09-18,150.90,152.82,148.01,148.29,26320100
2024-09-19,153.81,159.25,152.77,156.74,44500000
2024-09-20,156.00,157.45,152.47,155.95,40248200
2024-09-23,156.45,157.19,154.97,156.75,21728500
2024-09-24,157.46,159.64,154.58,158.32,27531200
2024-09-25,158.50,162.95,158.18,162.02,35233300
2024-09-26,167.06,168.68,164.05,167.49,38044900
2024-09-27,167.48,168.73,163.74,164.35,27876000
2024-09-30,163.10,165.08,162.18,164.08,21881600
2024-10-01,164.48,165.40,158.08,159.75,31831900
2024-10-02,159.31,163.10,158.67,159.78,24630400
2024-10-03,159.71,166.79,159.40,162.85,29598800
2024-10-04,166.53,171.21,164.42,170.90,44556500
2024-10-07,171.08,172.41,168.21,170.97,38379900
2024-10-08,171.75,173.60,170.00,172.80,34730200
2024-10-09,174.05,174.05,169.55,171.02,33890700
2024-10-10,169.76,172.01,162.00,164.18,75113600
2024-10-11,164.19,169.35,163.01,167.89,42136200
2024-10-14,167.77,168.90,165.15,165.27,31757200
2024-10-15,163.21,164.13,155.74,156.64,50768000
2024-10-16,158.07,158.28,154.92,156.13,30575800
2024-10-17,160.00,160.44,156.20,156.25,29491900
2024-10-18,157.41,158.01,155.56,155.97,23823000
2024-10-21,155.76,158.00,154.15,157.90,25781200
2024-10-22,156.60,156.74,151.91,154.09,34997400
2024-10-23,153.00,153.45,150.52,152.91,26095900
2024-10-24,154.74,155.19,152.35,153.44,22877000
2024-10-25,155.40,158.91,155.05,156.23,29758500
