date,open,high,low,close,volume
2024-08-01,170.25,174.05,168.88,170.76,24531400
2024-08-02,166.44,168.51,164.67,166.66,29130100
2024-08-05,155.50,164.43,154.93,159.25,53630700
2024-08-06,159.33,160.57,156.41,158.29,49004600
2024-08-07,161.25,162.98,158.47,158.94,25138600
2024-08-08,160.51,163.69,160.21,162.03,25578800
2024-08-09,160.01,163.79,159.06,163.67,28602300
2024-08-12,164.35,164.90,161.84,162.29,15895300
2024-08-13,163.41,164.73,162.97,164.16,18551700
2024-08-14,162.40,163.22,157.71,160.37,40591100
2024-08-15,160.50,161.64,159.61,161.30,31524300
2024-08-16,161.47,165.06,161.13,162.96,24208600
2024-08-19,165.28,166.69,164.26,166.67,22416200
2024-08-20,166.90,168.64,166.82,167.18,18341500
2024-08-21,165.15,166.85,164.67,165.85,22902000
2024-08-22,167.26,167.59,163.31,163.80,22493300
2024-08-23,164.72,166.18,163.83,165.62,13955700
2024-08-26,166.38,167.55,164.46,166.16,14190400
2024-08-27,165.84,166.44,164.46,164.68,11821900
2024-08-28,165.04,165.60,161.53,162.85,16407400
2024-08-29,164.31,165.97,160.25,161.78,19699800
2024-08-30,162.62,163.66,161.69,163.38,22123800
2024-09-03,161.72,161.85,156.48,157.36,38945300
2024-09-04,156.66,159.00,155.96,156.45,19353800
2024-09-05,156.30,159.45,155.98,157.24,18688700
2024-09-06,157.30,157.83,150.55,150.92,37912100
2024-09-09,152.51,153.40,147.22,148.71,39260500
2024-09-10,150.45,151.27,148.34,148.66,31118800
2024-09-11,149.92,151.50,147.52,151.16,29607700
2024-09-12,153.80,154.82,152.65,154.69,29621500
2024-09-13,155.43,158.38,155.21,157.46,29591200
2024-09-16,157.31,158.25,156.60,158.06,18379800
2024-09-17,159.02,160.55,158.38,159.32,20715600
2024-09-18,159.86,160.50,158.60,159.81,23677300
2024-09-19,163.71,163.79,161.34,162.14,26587700
2024-09-20,163.50,163.73,162.06,163.59,40896400
2024-09-23,164.35,165.49,161.67,161.85,24150900
2024-09-24,163.03,163.22,160.69,162.29,23332100
2024-09-25,161.47,162.81,161.30,161.49,18869200
2024-09-26,163.64,164.08,162.28,162.73,20319300
2024-09-27,162.81,165.70,162.63,163.95,21101300
2024-09-30,163.32,166.15,163.26,165.85,20413900
2024-10-01,167.69,169.16,164.58,166.99,28338100
2024-10-02,166.42,167.52,164.73,165.86,17760200
2024-10-03,164.41,166.64,163.92,165.86,15073100
2024-10-04,168.06,168.23,165.48,167.06,19047400
2024-10-07,167.72,168.48,162.75,162.98,22463100
2024-10-08,163.94,164.73,162.87,164.38,23072700
2024-10-09,163.45,164.84,159.74,161.86,31181800
2024-10-10,160.87,163.07,160.40,162.08,14144100
2024-10-11,162.13,163.90,161.24,163.24,15344300
2024-10-14,163.64,166.23,163.40,164.96,19016100
2024-10-15,165.79,167.68,164.63,165.46,20247200
2024-10-16,164.53,165.80,163.74,165.16,16406000
2024-10-17,165.73,166.37,162.76,162.93,21453400
2024-10-18,163.19,164.71,163.08,163.42,19757700
2024-10-21,162.95,164.50,162.62,164.07,20946500
2024-10-22,162.98,165.77,162.98,165.14,16568100
2024-10-23,164.76,165.82,161.93,162.78,18280500
2024-10-24,162.83,163.33,161.01,162.72,22412500
2024-10-25,163.67,165.59,163.42,165.27,19828900
