date,open,high,low,close,volume
2024-08-01,521.00,527.17,492.10,497.74,43083100
2024-08-02,489.00,501.15,476.15,488.14,24044700
2024-08-05,451.35,483.48,450.80,475.73,21396200
2024-08-06,479.00,502.56,478.65,494.09,20955000
2024-08-07,503.13,510.15,486.86,488.92,20105300
2024-08-08,497.50,509.96,494.72,509.63,16156800
2024-08-09,507.71,518.34,505.70,517.77,13696600
2024-08-12,516.86,518.02,509.10,515.95,9767400
2024-08-13,520.01,531.50,518.15,528.54,13743800
2024-08-14,528.06,534.00,523.13,526.76,11444200
2024-08-15,531.79,539.77,526.70,537.33,13482100
2024-08-16,531.90,533.66,524.66,527.42,14776700
2024-08-19,526.87,531.66,522.76,529.28,9879700
2024-08-20,528.35,531.09,525.88,526.73,7944400
2024-08-21,527.15,539.40,526.93,535.16,13423300
2024-08-22,537.00,544.23,528.59,531.93,15708300
2024-08-23,536.92,539.87,525.06,528.00,11323900
2024-08-26,527.60,528.00,514.95,521.12,9584000
2024-08-27,518.98,524.01,515.31,519.10,6282700
2024-08-28,517.67,521.09,512.45,516.78,9106100
2024-08-29,519.05,527.20,515.68,518.22,8317400
2024-08-30,521.35,523.54,515.20,521.31,9157500
2024-09-03,519.64,525.49,508.62,511.76,12459100
2024-09-04,506.07,516.59,504.07,512.74,8335200
2024-09-05,511.72,521.63,511.15,516.86,8640900
2024-09-06,521.88,524.58,498.25,500.27,14744500
2024-09-09,506.16,511.33,502.08,504.79,11047800
2024-09-10,508.16,514.18,500.03,504.79,9899000
2024-09-11,507.01,513.12,495.60,511.83,10782500
2024-09-12,517.05,526.71,515.22,525.60,11970500
2024-09-13,520.34,527.58,517.11,524.62,10321400
2024-09-16,524.54,534.10,517.40,533.28,9527600
2024-09-17,537.60,542.10,530.57,536.32,11690800
2024-09-18,537.07,544.20,533.90,537.95,10323500
2024-09-19,550.00,562.07,546.52,559.10,15647000
2024-09-20,560.00,564.50,556.30,561.35,22066800
2024-09-23,569.50,573.98,562.41,564.41,12830700
2024-09-24,566.68,567.75,554.19,563.33,12993000
2024-09-25,564.05,576.88,563.72,568.31,16543400
2024-09-26,575.73,577.40,562.35,567.84,14400800
2024-09-27,570.10,570.84,564.51,567.36,9398400
2024-09-30,567.70,574.68,564.80,572.44,12792300
2024-10-01,577.98,583.04,570.10,576.47,15259300
2024-10-02,574.86,576.00,569.34,572.81,6524700
2024-10-03,570.15,583.36,568.73,582.77,11581000
2024-10-04,583.73,596.85,581.43,595.94,14169500
2024-10-07,598.22,602.95,584.04,584.78,12014200
2024-10-08,589.69,593.56,585.97,592.89,7857400
2024-10-09,593.99,594.39,581.61,590.51,9529700
2024-10-10,587.57,590.23,582.52,583.83,7740400
2024-10-11,584.83,591.21,582.71,589.95,8587100
2024-10-14,594.22,600.10,589.96,590.42,8252000
2024-10-15,590.16,590.61,580.14,586.27,9564200
2024-10-16,581.40,582.08,574.03,576.79,11268400
2024-10-17,583.33,584.97,575.20,576.93,8701200
2024-10-18,581.10,583.97,575.25,576.47,7694300
2024-10-21,576.03,577.24,569.11,575.16,8171900
2024-10-22,574.29,583.53,572.12,582.01,8544500
2024-10-23,579.97,585.00,562.50,563.69,14248400
2024-10-24,567.13,568.88,561.52,567.78,7184700
2024-10-25,573.93,581.29,571.72,573.25,11337900
