date,open,high,low,close,volume
2024-08-01,420.79,427.46,413.09,417.11,30296400
2024-08-02,412.49,415.00,404.34,408.49,29437900
2024-08-05,389.17,401.04,385.58,395.15,40709200
2024-08-06,400.00,405.67,398.50,399.61,24946500
2024-08-07,408.64,410.08,397.47,398.43,20650900
2024-08-08,402.44,405.86,399.94,402.69,20203000
2024-08-09,404.03,408.05,402.26,406.02,19276700
2024-08-12,407.06,408.76,404.24,406.81,16762900
2024-08-13,409.59,414.95,409.57,414.01,19414300
2024-08-14,414.80,417.72,412.45,416.86,18267000
2024-08-15,419.80,421.11,417.66,421.03,20752100
2024-08-16,420.60,421.34,417.30,418.47,22775600
2024-08-19,418.96,421.75,416.46,421.53,15234000
2024-08-20,421.70,425.86,421.64,424.80,16387600
2024-08-21,424.08,426.40,421.72,424.14,16067300
2024-08-22,424.36,426.79,414.61,415.55,19361900
2024-08-23,416.98,419.26,412.09,416.79,18493800
2024-08-26,416.37,417.28,411.34,413.49,13152800
2024-08-27,412.86,414.36,410.25,413.84,13492900
2024-08-28,414.88,415.00,407.31,410.60,14882700
2024-08-29,414.94,422.05,410.60,413.12,17045200
2024-08-30,415.60,417.49,412.13,417.14,24308300
2024-09-03,417.91,419.88,407.03,409.44,20313600
2024-09-04,405.91,411.24,404.37,408.90,15135800
2024-09-05,407.62,413.10,406.13,408.39,14195500
2024-09-06,409.06,410.65,400.80,401.70,19609500
2024-09-09,407.24,408.65,402.15,405.72,15295100
2024-09-10,408.20,416.33,407.70,414.20,19594300
2024-09-11,415.50,423.99,409.58,423.04,19266900
2024-09-12,423.31,427.37,419.75,427.00,17395700
2024-09-13,425.83,431.83,425.46,430.59,15874600
2024-09-16,430.60,433.53,428.22,431.34,13834700
2024-09-17,440.23,441.85,432.27,435.15,18874200
2024-09-18,435.00,436.03,430.41,430.81,18898000
2024-09-19,441.23,441.50,436.90,438.69,21706600
2024-09-20,437.22,439.24,434.22,435.27,55167100
2024-09-23,434.28,436.46,430.39,433.51,15128900
2024-09-24,433.00,433.35,426.10,429.17,17015800
2024-09-25,429.83,433.12,428.57,432.11,13396400
2024-09-26,435.09,435.30,429.13,431.31,14492000
2024-09-27,431.52,431.85,427.47,428.02,14896100
2024-09-30,428.21,430.42,425.37,430.30,16807300
2024-10-01,428.45,428.48,418.81,420.69,19092900
2024-10-02,422.58,422.82,416.71,417.13,16582300
2024-10-03,417.63,419.55,414.29,416.54,13686400
2024-10-04,418.24,419.75,414.97,416.06,19169700
2024-10-07,416.00,417.11,409.00,409.54,20919800
2024-10-08,410.90,415.66,408.17,414.71,19229300
2024-10-09,415.86,420.38,414.30,417.46,14974300
2024-10-10,415.23,417.35,413.15,415.84,13848400
2024-10-11,416.14,417.13,413.25,416.32,14144900
2024-10-14,417.77,424.04,417.52,419.14,16653100
2024-10-15,422.18,422.48,415.26,418.74,18900200
2024-10-16,415.17,416.36,410.48,416.12,15508900
2024-10-17,422.36,422.50,415.59,416.72,14820000
2024-10-18,417.14,419.65,416.26,418.16,17145300
2024-10-21,416.12,418.96,413.75,418.78,14206100
2024-10-22,418.49,430.58,418.04,427.51,25482200
2024-10-23,430.86,431.08,422.53,424.60,19654400
2024-10-24,425.33,425.98,422.40,424.73,13581600
2024-10-25,426.76,432.52,426.57,428.15,16899100
