date,open,high,low,close,volume
2024-08-01,552.57,554.87,539.43,543.01,76428700
2024-08-02,535.75,536.99,528.60,532.90,82789100
2024-08-05,511.64,523.58,510.27,517.38,146267400
2024-08-06,519.22,529.75,517.87,522.15,84826300
2024-08-07,528.47,531.59,518.05,518.66,70698300
2024-08-08,523.91,531.29,521.84,530.65,63276600
2024-08-09,529.81,534.51,528.56,532.99,45619600
2024-08-12,534.21,535.73,530.95,533.27,42542100
2024-08-13,536.53,542.28,536.28,542.04,52333100
2024-08-14,542.85,544.96,540.12,543.75,42446900
2024-08-15,549.50,553.36,548.88,553.07,60846800
2024-08-16,551.42,555.02,551.26,554.31,44430700
2024-08-19,554.73,559.61,553.86,559.61,39121800
2024-08-20,559.15,560.84,557.33,558.70,33732300
2024-08-21,559.77,562.11,554.73,560.62,41514600
2024-08-22,562.56,563.18,554.98,556.22,56121500
2024-08-23,559.53,563.09,557.29,562.13,50639400
2024-08-26,563.18,563.91,559.05,560.79,35788600
2024-08-27,559.49,562.06,558.32,561.56,32693900
2024-08-28,561.21,561.65,555.04,558.30,41066000
2024-08-29,560.31,563.68,557.18,558.35,38715200
2024-08-30,560.77,564.20,557.14,563.68,62700100
2024-09-03,560.47,560.81,549.51,552.08,60600100
2024-09-04,550.20,554.43,549.46,550.95,47224900
2024-09-05,550.89,553.80,547.10,549.61,44264300
2024-09-06,549.94,551.60,539.44,540.36,68493800
2024-09-09,544.65,547.71,542.68,546.41,40445800
2024-09-10,548.36,549.15,543.38,548.79,36394600
2024-09-11,548.70,555.36,539.96,554.42,75248600
2024-09-12,555.01,559.40,552.74,559.09,51819600
2024-09-13,559.71,563.03,559.45,562.01,39310500
2024-09-16,561.74,563.11,559.90,562.84,36656100
2024-09-17,565.10,566.58,560.79,563.07,49321000
2024-09-18,563.74,568.69,560.83,561.40,59044900
2024-09-19,571.01,572.88,568.08,570.98,75315500
2024-09-20,567.84,569.31,565.17,568.25,77503100
2024-09-23,569.34,570.33,568.10,569.67,44116900
2024-09-24,570.48,571.36,567.60,571.30,46805700
2024-09-25,571.14,571.89,568.91,570.04,38428600
2024-09-26,574.38,574.71,569.90,572.30,48336000
2024-09-27,573.39,574.22,570.42,571.47,42100900
2024-09-30,570.42,574.38,568.08,573.76,63557400
2024-10-01,573.40,574.06,566.00,568.62,72668800
2024-10-02,567.71,569.90,565.27,568.86,38097800
2024-10-03,567.36,569.80,565.49,567.82,40846500
2024-10-04,572.35,573.36,568.10,572.98,42939100
2024-10-07,571.30,571.96,566.63,567.80,49964700
2024-10-08,570.42,573.78,569.53,573.17,37398700
2024-10-09,573.16,577.71,572.55,577.14,37912200
2024-10-10,575.77,577.58,574.49,576.13,44138100
2024-10-11,576.05,580.33,575.91,579.58,42268000
2024-10-14,581.22,585.27,580.73,584.32,36217200
2024-10-15,584.59,584.90,578.54,579.78,54203600
2024-10-16,579.78,582.83,578.96,582.30,30725400
2024-10-17,585.91,586.12,582.16,582.35,34393700
2024-10-18,584.07,585.39,582.58,584.59,37416800
2024-10-21,583.85,584.85,580.60,583.63,36439000
2024-10-22,581.05,584.50,580.38,583.32,34183800
2024-10-23,581.26,581.71,574.42,577.99,49314600
2024-10-24,579.98,580.06,576.57,579.24,34979900
2024-10-25,581.51,584.46,578.08,579.04,47268200
